iter	Passed	Remaining
0	124	124702
1	127	63597
2	129	42967
3	131	32627
4	133	26481
5	135	22386
6	136	19429
7	139	17262
8	141	15558
9	143	14192
10	146	13154
11	148	12244
12	150	11445
13	152	10745
14	154	10131
15	157	9704
16	160	9306
17	163	8940
18	165	8558
19	167	8225
20	169	7912
21	171	7621
22	176	7498
23	179	7283
24	181	7069
25	183	6860
26	184	6659
27	186	6488
28	189	6344
29	192	6230
30	195	6108
31	197	5960
32	198	5829
33	200	5702
34	203	5614
35	206	5531
36	208	5423
37	210	5319
38	211	5220
39	213	5126
40	215	5036
41	218	4979
42	220	4912
43	222	4832
44	224	4755
45	225	4683
46	227	4613
47	229	4550
48	232	4517
49	234	4456
50	236	4397
51	239	4367
52	242	4333
53	244	4280
54	246	4227
55	247	4176
56	249	4125
57	250	4076
58	254	4059
59	257	4028
60	258	3983
61	260	3939
62	261	3896
63	263	3857
64	265	3819
65	268	3793
66	271	3780
67	273	3744
68	275	3712
69	276	3677
70	278	3644
71	280	3612
72	282	3585
73	284	3563
74	287	3545
75	289	3516
76	290	3486
77	292	3457
78	294	3428
79	295	3401
80	300	3413
81	302	3386
82	303	3352
83	305	3327
84	306	3303
85	308	3278
86	310	3257
87	313	3251
88	316	3238
89	318	3217
90	319	3195
91	321	3174
92	323	3152
93	325	3133
94	327	3120
95	330	3109
96	332	3097
97	334	3078
98	336	3058
99	337	3041
100	339	3023
101	343	3021
102	346	3014
103	347	2997
104	349	2980
105	351	2963
106	353	2946
107	354	2930
108	358	2927
109	361	2922
110	363	2910
111	365	2894
112	366	2879
113	368	2865
114	372	2866
115	375	2864
116	377	2846
117	378	2832
118	380	2817
119	382	2802
120	383	2789
121	385	2775
122	389	2775
123	391	2764
124	393	2751
125	394	2738
126	396	2724
127	397	2711
128	404	2731
129	406	2721
130	408	2708
131	410	2698
132	412	2686
133	414	2677
134	418	2679
135	420	2670
136	421	2658
137	423	2646
138	425	2635
139	427	2624
140	429	2614
141	430	2604
142	433	2599
143	435	2588
144	436	2576
145	438	2565
146	440	2554
